    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 1850.0000    1     7.80     2.80     0.00       1.5956       0.0000       5.6821      56.0208   16992.5427
 1850.0000    2     8.30     6.70     0.48       0.8847       0.0000       5.5751      39.9926   12161.9785
 1850.0000    3    14.40     8.30     1.83       0.5961       0.0000       5.5189      32.2065   10271.4658
 1850.0000    4    14.40    -8.30     1.14       0.6016       0.0000       5.4087      24.9909    8654.2964
 1850.0000    5     0.60    -8.90     0.00       0.5727       0.0000       5.3046      19.3867    7484.3121
 1850.0000    6    -1.70    -6.10     0.00       0.4979       0.0000       5.2428      16.0844    6815.0628
 1850.0000    7    -2.20    -9.40     0.00       0.4391       0.0000       5.1787      13.4905    6302.3573
 1850.0000    8    -0.60   -12.80     0.00       0.4034       0.0000       5.1242      12.2478    5920.3935
 1850.0000    9     7.80    -3.90     0.00       0.3911       0.0000       5.1297      12.4027    5839.5362
 1850.0000   10    14.40    -2.20     0.00       0.3885       0.0000       5.1363      12.5506    5842.4878
 1850.0000   11    -1.70    -7.80     0.00       0.3923       0.0000       5.0345      12.6984    5457.1009
 1850.0000   12     6.10    -5.60     0.00       0.4764       0.0000       2.5745      12.8364    5367.3983
 1850.0000   13    15.00     2.20     3.38       0.3201       3.9541       5.1771      12.8967    5850.0254
 1850.0000   14    11.10    -7.20     0.00       0.3943       4.8707       5.1649      13.0381    5282.1779
 1850.0000   15     6.70    -7.20     0.51       0.3257       0.0000       4.9752      13.0983    5158.1901
 1850.0000   16     8.30    -9.40     0.00       0.3698       4.5680       4.9467      13.2060    4749.1789
 1850.0000   17     2.80   -10.00     0.00       0.3546       4.3803       5.1207      13.2920    4400.7868
 1850.0000   18     3.30   -12.80     0.20       0.3385       4.1823       4.6508      13.3551    4082.8559
 1850.0000   19    -5.60   -18.30     0.05       0.3397       0.0000       4.7028      13.4140    4102.3910
 1850.0000   20    -3.90   -13.90     0.00       0.3227       3.9864       4.5594      13.4535    3721.2387
 1850.0000   21     4.40    -8.30     0.00       0.3276       4.0470       4.9386      13.4903    3817.9782
 1850.0000   22     2.80     0.00     0.00       0.3436       4.2447       5.3248      13.5469    4127.3156
 1850.0000   23     1.10    -1.10     0.00       0.3510       4.3376       5.5065      13.6170    4202.0109
 1850.0000   24    12.20    -2.20     0.89       0.2859       0.0000       4.7719      13.6144    4316.4447
 1850.0000   25    18.90     3.90     0.69       0.3033       3.7473       4.9899      13.6328    4952.4057
 1850.0000   26    16.10    -6.70     1.04       0.2958       3.6539       4.8129      13.6484    4644.5638
 1850.0000   27    -2.80   -12.20     0.00       0.3380       4.1758       4.5381      13.7080    3967.5340
 1850.0000   28     4.40    -6.10     0.00       0.3404       4.2053       4.9108      13.7604    4013.0413
 1850.0000   29     6.10    -6.10     0.00       0.3428       4.2359       5.1969      13.8156    4015.0785
 1850.0000   30    -5.00   -16.10     0.00       0.3223       3.9832       5.0388      13.8474    3482.8386
 1850.0000   31    -1.10   -10.60     0.00       0.3304       4.0845       5.3750      13.8756    3454.2513
 1850.0834   32     0.00   -12.20     0.00       0.3895       4.8183       5.5898      16.9067    3719.5966
 1850.0834   33    -1.10    -9.40     0.00       0.3229       3.9978       5.8848      16.8777    3706.2761
 1850.0834   34     0.00   -12.80     0.00       0.3262       4.0439       6.0708      16.8529    3579.3471
 1850.0834   35     4.40    -7.80     0.00       0.3348       4.1595       6.5232      16.8348    3689.8381
 1850.0834   36     5.60    -6.70     0.00       0.3410       4.2473       6.8987      16.8283    3754.4215
 1850.0834   37     1.10    -0.05     0.00       0.3411       4.2543       7.2222      16.8249    3916.4335
 1850.0834   38     3.30    -3.90     0.00       0.3484       4.3608       7.4967      16.8349    3860.2453
 1850.0834   39     2.20    -5.00     0.15       0.2737       3.4081       6.9569      16.7615    3843.6794
 1850.0834   40     2.80    -1.70     0.74       0.1987       0.0000       7.0209      16.5559    3935.8097
 1850.0834   41     4.40    -3.90     0.00       0.2654       0.0000       4.5381      16.4794    4173.6886
 1850.0834   42     3.30    -3.30     0.08       0.2676       3.3059       4.5372      16.4073    4186.5289
 1850.0834   43     0.00    -5.60     0.00       0.2696       3.3309       4.7156      16.3388    4052.1592
 1850.0834   44    -0.60    -4.40     1.42       0.1939       0.0000       4.7586      16.1555    4096.6332
 1850.0834   45     1.10    -1.70     2.29       0.1917       0.0000       4.7755      15.9788    4137.0103
 1850.0834   46     0.60    -2.80     0.66       0.1897       0.0000       4.7759      15.8087    4149.8932
 1850.0834   47    -1.10    -5.60     0.13       0.2806       0.0000       4.7691      15.7628    4142.4817
 1850.0834   48     1.70    -4.40     0.00       0.2815       0.0000       4.7728      15.7187    4148.8016
 1850.0834   49     3.30    -5.00     0.08       0.2823       0.0000       4.7734      15.6766    4151.6611
 1850.0834   50     0.00    -7.20     0.25       0.2826       0.0000       4.7627      15.6357    4132.1298
 1850.0834   51    -5.60   -18.90     0.00       0.2817       0.0000       4.7276      15.5943    4061.0674
 1850.0834   52    -3.90   -11.10     0.15       0.2822       0.0000       4.7347      15.5531    4054.1095
 1850.0834   53    -4.40    -9.40     0.76       0.1847       0.0000       4.7388      15.3947    4056.7604
 1850.0834   54     0.00   -11.70     0.25       0.2856       0.0000       4.7404      15.3609    4059.1210
 1850.0834   55    -1.70   -11.70     0.25       0.2862       0.0000       4.7382      15.3286    4055.2989
 1850.0834   56    -7.80   -23.30     0.00       0.2859       0.0000       4.7178      15.2965    4016.7874
 1850.0834   57    -5.00   -16.70     0.00       0.2863       0.0000       4.7197      15.2649    4009.2662
 1850.0834   58     0.60   -20.00     0.00       0.2867       0.0000       4.7165      15.2343    3999.8034
 1850.0834   59     4.40    -6.10     1.73       0.1810       0.0000       4.7337      15.0845    4027.5565
 1850.1666   60    -3.30   -11.70     0.28       0.3202       0.0000       4.7332      18.4057    3643.2710
 1850.1666   61    -3.30   -14.40     0.25       0.2188       0.0000       4.7347      18.2372    3648.1825
 1850.1666   62     0.00   -17.20     0.00       0.2169       0.0000       4.7335      18.0730    3647.8129
 1850.1666   63     4.40   -10.60     0.00       0.2150       0.0000       4.7301      17.9129    3642.2747
 1850.1666   64     7.80     2.80     0.00       0.2131       0.0000       4.7427      17.7564    3661.6746
 1850.1666   65     4.40    -7.80     0.00       0.3187       0.0000       2.1607      17.6038    3642.8556
 1850.1666   66    10.00    -3.30     0.00       0.2094       0.0000       4.4932      17.4479    3664.3589
 1850.1666   67     8.90   -10.00     1.02       0.3185       0.0000       1.4617      17.2685    3643.1617
 1850.1666   68    -4.40   -11.70     0.00       0.3939       0.0000       1.4499      17.2051    3580.0505
 1850.1666   69     1.10   -12.20     0.00       0.4077       0.0000       1.4495      17.1424    3556.2879
 1850.1666   70     3.90    -1.10     0.51       0.2036       0.0000       4.4661      16.9655    3585.1496
 1850.1666   71     1.10   -13.30     0.10       0.3021       0.0000       4.4321      16.9232    3536.8353
 1850.1666   72    -1.10    -7.80     0.00       0.3038       0.0000       4.4323      16.8824    3523.8421
 1850.1666   73     0.60    -8.30     0.00       0.3031       0.0000       4.4300      16.8413    3514.6463
 1850.1666   74     2.20    -7.80     0.00       0.3217       0.0000       2.6631      16.8025    3511.5719
 1850.1666   75    -0.60    -6.70     0.13       0.3196       0.0000       2.6592      16.7644    3498.9789
 1850.1666   76     1.70    -6.70     0.51       0.2230       0.0000       2.6611      16.6208    3498.9601
 1850.1666   77     0.00   -10.60     0.00       0.3177       0.0000       2.6516      16.5872    3473.6523
 1850.1666   78     0.60   -12.80     0.00       0.3507       0.0000       2.3037      16.5532    3448.8490
 1850.1666   79     4.40    -2.80     0.00       0.2981       0.0000       4.4304      16.5112    3484.7283
 1850.1666   80     4.40     0.00     0.00       0.3142       0.0000       4.4452      16.4857    3520.8759
 1850.1666   81     4.40     1.10     0.53       0.2292       0.0000       4.4549      16.3657    3548.1140
 1850.1666   82     3.90     0.00     0.05       0.3254       0.0000       4.4539      16.3549    3555.1491
 1850.1666   83     9.40    -0.60     0.15       0.3370       4.1636       4.5849      16.3573    3795.7633
 1850.1666   84     9.40     0.00     0.00       0.3472       4.2893       4.9014      16.3759    3952.0028
 1850.1666   85     6.10     1.70     2.41       0.2381       2.9416       4.7984      16.2750    4013.8632
 1850.1666   86    15.60     3.30     1.32       0.2633       3.2526       5.0249      16.2030    4450.4741
 1850.1666   87     9.30     0.60     1.07       0.2689       3.3226       4.9180      16.1435    4381.5482
 1850.1666   88     3.30    -5.60     0.00       0.3638       4.4949       5.0354      16.1903    3993.5437
 1850.1666   89     4.40    -7.80     0.00       0.3631       4.4874       5.2840      16.2312    3805.9673
 1850.1666   90     9.40    -2.20     0.00       0.3883       4.8004       5.7625      16.2967    3994.9107
 1850.2500   91     7.20     0.00     1.88       0.2911       3.5963       4.8426      18.8114    4218.1739
 1850.2500   92     7.20    -2.20     1.07       0.2233       0.0000       4.5648      18.6047    4027.6203
 1850.2500   93    15.00     5.00     0.56       0.2209       2.7294       4.8312      18.4107    4620.7258
 1850.2500   94     8.30     2.20     3.02       0.2187       2.7019       4.8556      18.2253    4583.7861
 1850.2500   95     2.80    -2.20     0.05       0.3531       4.3624       4.9216      18.2249    4258.9229
 1850.2500   96     3.30    -7.80     0.00       0.3500       4.3243       5.1174      18.2178    3977.8483
 1850.2500   97    10.60    -4.40     0.00       0.3729       4.6088       5.5945      18.2326    4153.7619
 1850.2500   98    10.00    -4.40     0.00       0.3998       4.9449       5.9502      18.2802    4193.9682
 1850.2500   99     1.10    -5.00     0.00       0.4060       5.0266       6.0848      18.3348    3900.2573
 1850.2500  100    17.80     0.00     1.24       0.2181       2.6942       5.0673      18.1732    4514.9478
 1850.2500  101    17.20     0.60     1.93       0.2190       2.7055       5.1224      18.0235    4852.1182
 1850.2500  102     2.20    -5.00     0.00       0.3662       4.5242       5.1387      18.0427    4238.6422
 1850.2500  103    -1.70    -7.80     0.00       0.3610       4.4611       5.2638      18.0504    3826.2591
 1850.2500  104     2.20    -4.40     0.00       0.3805       4.7039       5.6246      18.0738    3812.5095
 1850.2500  105    11.70    -4.40     0.00       0.4137       5.1205       6.1544      18.1340    4055.6154
 1850.2500  106    17.80    -5.00     0.00       0.4448       5.5143       6.7209      18.2323    4365.5917
 1850.2500  107    20.00     8.90     0.00       0.5000       6.2148       7.5183      18.3949    5225.8444
 1850.2500  108    18.90     8.90     0.00       0.5672       7.0740       8.0621      21.4485    5721.7360
 1850.2500  109    16.10     5.60     0.00       0.5656       7.0837       8.4576      21.5874    5623.3048
 1850.2500  110     8.30     1.70     0.00       0.4934       6.2070       8.6018      18.9338    4855.3798
 1850.2500  111    10.00    -1.10     0.00      16.1450     102.0875       3.4292      36.5917  132828.6171
 1850.2500  112    18.30    -3.30     0.00       0.3600       2.3943       3.8413      29.9961  245913.1241
 1850.2500  113    18.30     7.20     0.00       1.1933       7.9764       4.1166      39.3306  262398.6053
 1850.2500  114    15.00     3.30     5.82       0.7211       4.6436       2.1896      60.0886  370540.6952
 1850.2500  115    12.80     4.40     3.76       4.0164      25.8652       2.1463      64.7747  348265.9531
 1850.2500  116     7.80     1.70     0.00       3.1502      20.2939       2.2980      51.7240  289932.4608
 1850.2500  117     6.70    -1.10     0.81       0.4730       3.0462       1.8968      39.4199  252233.6006
 1850.2500  118    11.10     0.00     0.00       2.2807      14.6902       2.2268      45.8098  253660.9268
 1850.2500  119    10.00     2.80     0.00       1.4379       9.2721       2.4978      48.6406  249100.9140
 1850.2500  120    10.00     3.30     0.00       1.4906       9.6386       2.7779      51.0438  243247.2038
 1850.3334  121    11.70     2.20     0.05       1.4411       9.3456       2.9781      59.0808  228914.7949
 1850.3334  122    15.60    -2.80     0.00       0.7161       4.6600       3.1898      59.6752  237591.3620
 1850.3334  123    21.70     3.90     0.00       4.9777      32.5194       3.5247     109.1005  302781.1050
 1850.3334  124    26.70    12.20     0.00       2.1856      14.3388       3.8802     182.1339  462708.1299
 1850.3334  125    27.80    11.10     0.00      15.4930     100.9024       4.1554     306.4696  572999.1913
 1850.3334  126    25.60    10.00     0.00       1.8598      12.1537       4.3983     154.9851  537763.0615
 1850.3334  127    20.60     5.00     0.00      38.0886     250.2250       4.5238     284.3768  373103.6377
 1850.3334  128    15.60    -0.60     0.00       0.4360       2.8811       4.5589      36.3372  204506.7596
 1850.3334  129    22.80     6.10     0.18      32.0799     212.6644       4.8609     140.4407  225272.7318
 1850.3334  130    21.10     7.20     0.00       1.3254       8.8360       5.0694     110.4477  176870.6894
 1850.3334  131    17.80     3.30     0.00       2.0784      13.9125       5.1294      77.1809  117599.3729
 1850.3334  132    22.80     5.00     0.00       1.6567      11.0991       5.3917      85.6345  127913.5227
 1850.3334  133    22.20    13.30     0.00       3.6630      24.4633       5.6335      99.2771  140536.5372
