year   DOY      aglivc     bglivcj     bglivcm  prev_mcprd1  prev_mcprd2  prev_mcprd3         COM         ppt        irri    watr2sat  avgst_10cm          TI          Cr          Eh         Feh    CH4_prod      CH4_Ep     CH4_Ebl    CH4_oxid
1989     1      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0575      0.0000      0.0000      0.0000      7.1508      0.0812      0.0000  300.000000      0.0061      0.0002    0.000000    0.000000    0.000401
1989     2      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0439      0.0000      0.0000      0.0000      5.1644      0.0653      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000431
1989     3      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0380      0.1270      0.0000      0.0000      3.8549      0.0566      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000458
1989     4      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0335      0.0000      0.0000      0.0000      2.3867      0.0481      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000483
1989     5      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0326      0.0000      0.0000      0.0000      2.4376      0.0484      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000491
1989     6      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0321      0.0250      0.0000      0.0000      2.5513      0.0490      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000523
1989     7      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0413      1.7020      0.0000      0.0000      3.1376      0.0523      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000558
1989     8      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0303      0.0000      0.0000      0.0000      2.0158      0.0462      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000487
1989     9      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0278      0.0000      0.0000      0.0000      0.9698      0.0412      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000511
1989    10      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0281      0.0000      0.0000      0.0000      1.3643      0.0430      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000504
1989    11      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0284      0.0000      0.0000      0.0000      1.2894      0.0427      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000472
1989    12      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0285      0.0250      0.0000      0.0000      1.4688      0.0435      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000413
1989    13      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0274      0.0000      0.0000      0.0000      0.8546      0.0407      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000433
1989    14      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0266      0.0250      0.0000      0.0000      0.3997      0.0387      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000450
1989    15      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0271      0.0510      0.0000      0.0000      0.8670      0.0407      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000456
1989    16      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0270      0.0000      0.0000      0.0000      0.8673      0.0407      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000418
1989    17      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0275      0.0000      0.0000      0.0000      1.2143      0.0423      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000375
1989    18      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0290      0.0000      0.0000      0.0000      2.0363      0.0463      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000387
1989    19      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0296      0.1130      0.0000      0.0000      2.3969      0.0482      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000391
1989    20      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0232      0.0000      0.0000      0.0000     -2.7506      0.0274      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000398
1989    21      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0210      0.0000      0.0000      0.0000     -4.6004      0.0223      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000413
1989    22      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0248      0.0000      0.0000      0.0000     -0.0236      0.0369      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000458
1989    23      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0279      0.0000      0.0000      0.0000      2.3693      0.0480      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000499
1989    24      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0277      0.0000      0.0000      0.0000      2.1473      0.0469      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000524
1989    25      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0335      0.7340      0.0000      0.0000      0.9466      0.0411      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000530
1989    26      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0277      0.0000      0.0000      0.0000      1.6898      0.0446      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000411
1989    27      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0263      0.0000      0.0000      0.0000      0.6922      0.0400      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000432
1989    28      0.0000      0.0000      0.0000      0.0000      0.0000      0.0000      0.0289      0.1980      0.0000      0.0000      2.6329      0.0495      0.0000  300.000000      0.0061      0.0001    0.000000    0.000000    0.000422
