    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2022.0000    1     4.30    -3.10     0.09       2.4910       0.0000       2.4829     116.0194    7351.6977
 2022.0000    2    -2.80    -8.80     0.00       1.0444       0.0000       2.4372      64.8436    4734.3969
 2022.0000    3    -4.90    -9.80     0.00       0.6742       0.0000       2.4075      42.1401    3758.1617
 2022.0000    4    -3.10   -10.20     0.02       0.5240       0.0000       2.3873      30.7159    3277.5307
 2022.0000    5    -5.10   -12.30     0.00       0.4683       0.0000       2.3662      26.9804    2937.5756
 2022.0000    6    -5.70   -10.30     0.19       0.4595       0.0000       2.3525      26.9479    2731.7899
 2022.0000    7    -6.70   -11.40     0.00       0.4516       0.0000       2.3377      26.9124    2562.4824
 2022.0000    8   -11.10   -19.70     0.00       0.4433       0.0000       2.3146      26.8731    2362.9372
 2022.0000    9    -5.20   -19.20     0.00       0.4373       0.0000       2.3073      26.8324    2272.1714
 2022.0000   10    -1.90   -17.80     0.00       0.4322       0.0000       2.3017      26.7909    2213.9639
 2022.0000   11     1.10   -11.60     0.00       0.4493       0.0000       2.2759      26.7497    2198.7474
 2022.0000   12     0.20   -13.70     0.00       0.4753       0.0000       2.2326      26.7079    2147.4129
 2022.0000   13    -0.50   -11.70     0.00       0.4699       0.0000       2.2280      26.6659    2109.0271
 2022.0000   14   -11.30   -19.70     0.00       0.4627       0.0000       2.2059      26.6218    1986.0196
 2022.0000   15   -15.40   -22.30     0.00       0.4560       0.0000       2.1909      26.5761    1890.4650
 2022.0000   16   -14.60   -28.10     0.00       0.4496       0.0000       2.1775      26.5291    1810.2342
 2022.0000   17   -10.30   -18.00     0.00       0.4450       0.0000       2.1822      26.4826    1806.4810
 2022.0000   18   -17.60   -27.00     0.00       0.4389       0.0000       2.1631      26.4348    1727.4639
 2022.0000   19   -20.00   -29.30     0.00       0.3595       0.0000       2.1510      26.3861    1665.6026
 2022.0000   20   -10.00   -23.00     0.00       0.3593       0.0000       2.1584      26.3379    1673.4228
 2022.0000   21    -8.00   -17.70     0.00       0.3593       0.0000       2.1622      26.2904    1683.6669
 2022.0000   22     3.90    -8.30     0.00       0.5549       0.0000       1.5289      26.2449    1748.4705
 2022.0000   23     3.50    -6.00     0.00       0.5659       0.0000       1.0492      26.2011    1777.7312
 2022.0000   24     1.50    -0.70     0.00       0.5668       0.0000       0.9494      26.1590    1802.9219
 2022.0000   25    -0.30    -9.30     0.00       0.5651       0.0000       0.9494      26.1170    1769.0724
 2022.0000   26    -8.50   -14.40     0.00       0.5625       0.0000       0.9467      26.0742    1699.9832
 2022.0000   27     6.50   -14.40     1.00       0.5417       0.0000       0.7618      26.0056    1722.7192
 2022.0000   28     6.40    -4.20     1.16       0.6830       0.0000       0.7693      25.9394    1758.2913
 2022.0000   29    -1.80    -9.00     0.00       0.5667       0.0000       0.7701      25.9021    1726.4332
 2022.0000   30    -8.60   -16.30     0.00       0.5650       0.0000       0.7693      25.8638    1666.1067
 2022.0000   31    -8.90   -18.00     0.00       0.5639       0.0000       0.7711      25.8254    1627.8872
 2022.0834   32   -10.90   -20.00     0.00       0.7437       0.0000       0.7725      28.7323    1760.5665
 2022.0834   33    -3.90   -17.70     0.00       0.6950       0.0000       0.7778      28.6362    1759.7640
 2022.0834   34    -8.10   -14.40     0.00       0.6954       0.0000       0.7809      28.5426    1745.5965
 2022.0834   35    -6.30   -12.80     0.00       0.6958       0.0000       0.7851      28.4517    1741.9007
 2022.0834   36    -3.10   -13.30     0.00       0.5557       0.0000       0.7894      28.3633    1740.9012
 2022.0834   37     0.20   -13.00     0.00       0.5556       0.0000       0.7941      28.2770    1744.9914
 2022.0834   38    -9.50   -14.40     0.00       0.5552       0.0000       0.7942      28.1923    1706.6669
 2022.0834   39   -13.20   -16.30     0.00       0.5547       0.0000       0.7950      28.1093    1668.6073
 2022.0834   40   -11.50   -22.40     0.05       0.5541       0.0000       0.7961      28.0277    1632.7767
 2022.0834   41    -9.50   -25.20     0.00       0.5535       0.0000       0.7981      27.9476    1606.4943
 2022.0834   42    -6.40   -19.70     0.00       0.5530       0.0000       0.8034      27.8692    1609.3028
 2022.0834   43    -3.70   -14.30     0.14       0.5527       0.0000       0.8094      27.7927    1625.8052
 2022.0834   44    -2.90    -8.40     0.00       0.5525       0.0000       0.8154      27.7181    1646.3056
 2022.0834   45     5.90   -11.40     0.00       0.5628       0.0000       0.6449      27.6455    1667.2389
 2022.0834   46     4.10    -3.10     0.00       0.5635       0.0000       0.6472      27.5748    1697.2074
 2022.0834   47     3.90   -11.90     0.00       0.5608       0.1574       0.6377      27.5041    1596.5390
 2022.0834   48    10.40    -1.60     0.00     172.9978      49.5087       0.6564      27.4376    1791.2561
 2022.0834   49    11.80     2.00     0.00     149.6846      44.3769       0.6666      27.2198    1984.4811
 2022.0834   50    14.90     7.30     0.16      52.7688      79.6616       2.8604      27.0328    2324.0213
 2022.0834   51    12.70     0.60     0.19       0.5625       1.0162       2.8447      26.8027    2284.9092
 2022.0834   52     2.40    -3.80     0.00       0.5250       0.7913       2.8991      26.8321    1987.4372
 2022.0834   53    -3.40    -9.30     0.00       0.4762       0.7180       2.9170      26.8442    1719.0364
 2022.0834   54    -4.20    -8.80     0.21       0.4503       0.0000       2.9328      26.8550    1703.2994
 2022.0834   55    -5.70   -10.20     0.02       0.4420       0.0000       2.9219      26.8631    1661.3755
 2022.0834   56    -7.70   -14.30     0.05       0.4402       0.0000       2.9063      26.8676    1610.1299
 2022.0834   57    -8.20   -16.80     0.00       0.4415       0.0000       2.8934      26.8692    1567.3535
 2022.0834   58    -4.70   -23.80     0.00       0.4440       0.0000       2.8801      26.8680    1526.9323
 2022.0834   59    -1.80   -18.50     0.05       0.4479       0.0000       2.8829      26.8664    1524.1246
 2022.1666   60     0.70    -9.60     0.00       0.6232       0.9392       2.7786      30.1670    1348.3676
 2022.1666   61    -0.10   -10.80     0.00       0.4464       0.6732       2.8800      30.0802    1311.9021
 2022.1666   62     6.50   -11.20     0.00       0.3945       0.5961       3.0928      29.9954    1344.6242
 2022.1666   63     6.40    -0.20     0.00      43.6982      66.2620       3.3212      29.9139    1478.8072
 2022.1666   64    10.40    -3.00     0.07      36.7074      55.8711       3.4702      29.6093    1567.8275
 2022.1666   65    13.20     2.40     0.02      27.3795      42.2050       3.8111      29.3508    1765.7867
 2022.1666   66     7.20     0.60     0.00       0.3837       0.5984       3.9536      29.1434    1719.7824
 2022.1666   67     0.90    -8.10     0.00       0.3789       0.5967       3.9811      29.0776    1496.0322
 2022.1666   68    -1.40    -8.90     0.00       0.3761       0.5977       4.0484      29.0097    1379.6388
 2022.1666   69     2.20    -8.10     0.00       0.3753       0.6041       4.1956      28.9420    1358.0191
 2022.1666   70     3.30    -7.50     0.00       0.3747       0.6122       4.3464      28.8747    1345.1368
 2022.1666   71    12.50    -6.00     0.30      12.4164      19.7174       4.1362      28.8105    1505.4999
 2022.1666   72     6.30    -0.10     0.14      13.5298      21.2033       4.0076      28.6829    1558.1818
 2022.1666   73     6.30    -4.10     0.02      13.4803      21.1873       4.1330      28.5522    1537.3451
 2022.1666   74     4.50    -5.10     0.02       0.3761       0.5969       4.2346      28.4221    1488.6954
 2022.1666   75    -1.70    -8.30     0.00       0.3727       0.5967       4.2631      28.3614    1353.5947
 2022.1666   76     0.70   -12.50     0.00       0.3705       0.6006       4.3540      28.2992    1273.2515
