"date","year","dayofyear","N2O_emit_gha","N2O_cum_gha","CH4_net_gha","CH4_cum_gha","model_name","scenario_name","climate_scenario_num","mgmt_scenario_grp_num","mgmt_scenario_opt_num"
2003-01-01,2003,1,0.1583,0.1583,-1.1561481,-1.1561481,"Daycent","5_8",5,8,""
2003-01-02,2003,2,0.1577,0.316,-1.1219241,-2.2780722,"Daycent","5_8",5,8,""
2003-01-03,2003,3,0.157,0.473,-1.124556,-3.4026282,"Daycent","5_8",5,8,""
2003-01-04,2003,4,0.1563,0.6293,-1.1370552,-4.5396834,"Daycent","5_8",5,8,""
2003-01-05,2003,5,0.1556,0.7849,-1.1308056,-5.670489,"Daycent","5_8",5,8,""
2003-01-06,2003,6,0.1549,0.9398,-1.0968048,-6.7672938,"Daycent","5_8",5,8,""
2003-01-07,2003,7,0.1542,1.094,-1.0978743,-7.8651681,"Daycent","5_8",5,8,""
2003-01-08,2003,8,0.1536,1.2476,-1.1332701,-8.9984382,"Daycent","5_8",5,8,""
2003-01-09,2003,9,0.1529,1.4005,-1.1201478,-10.118586,"Daycent","5_8",5,8,""
2003-01-10,2003,10,0.1522,1.5527,-1.066524,-11.18511,"Daycent","5_8",5,8,""
2003-01-11,2003,11,0.1516,1.7043,-1.0534017,-12.2385117,"Daycent","5_8",5,8,""
2003-01-12,2003,12,0.1509,1.8552,-1.0526205,-13.2911322,"Daycent","5_8",5,8,""
2003-01-13,2003,13,0.1502,2.0054,-1.0690443,-14.3601765,"Daycent","5_8",5,8,""
2003-01-14,2003,14,0.1496,2.155,-1.0647105,-15.424887,"Daycent","5_8",5,8,""
2003-01-15,2003,15,0.1489,2.3039,-1.0752102,-16.5000972,"Daycent","5_8",5,8,""
2003-01-16,2003,16,0.1483,2.4522,-1.0215399,-17.5216371,"Daycent","5_8",5,8,""
2003-01-17,2003,17,0.1476,2.5998,-0.9939282,-18.5155653,"Daycent","5_8",5,8,""
2003-01-18,2003,18,0.147,2.7468,-1.0051068,-19.5206721,"Daycent","5_8",5,8,""
