"Model","Climate_Scenario","component","BC19-CR","BC38-CR","BC57-CR","BC76-CR","BC96-CR","CC-CR","CC-NT-CR","CN","RF05-CR","RF15-CR","RF25-CR","RF35-CR","RR00-CR","RR00-NT-CR","RR25-CR","RR25-NT-CR","RR50-CR","RR50-NT-CR","component_order"
"APSIM",1,"N2O_profile_last",0.605054099597779,0.594448356796214,0.583314351426425,0.576918388147791,0.589045843044472,0.86192342665652,0.909050188244218,0.878851485836283,0.854848982544335,0.804112170708982,0.746616399118383,0.699593302544319,0.873688696084999,0.935873517340158,0.715563813837901,0.773571369863043,0.606940078638832,0.629672204742886,"N2O_profile_last"
"APSIM",1,"N2O_profile_change",-0.0352056225566723,-0.0514597818758867,-0.0504362518298992,-0.0404364487798244,0.00250728276563428,0.0662701916816365,0.11063625262117,0.0142888855699109,0.134368471130836,0.128343676765517,0.100678795215474,0.0949069600734957,0.128010322683833,0.163270637399656,0.0737073104550694,0.118748479907464,0.0505410334107113,0.0511665393951714,"N2O_profile_change"
"APSIM",1,"NO3_0to60cm_last",42.6770475743116,43.8344820765324,44.1461931000007,44.3733146789635,45.5698377812059,48.0573715509416,48.2565625799457,57.6407010019585,48.0883685907555,45.7677520414781,43.1263377948956,40.8558850462156,48.7517189517361,47.0770198472998,39.5887203681933,39.3197515413759,32.4321040828707,30.9183117367451,"NO3_0to60cm_last"
"APSIM",1,"NO3_0to60cm_change",5.57546977099581,5.19505931924375,5.48268076196533,5.38815126125089,7.41256075877749,6.78553237682029,12.1395790873837,2.21618297068981,3.16712615433842,3.11141042741162,1.51689386775762,1.09339773594458,2.68213880977701,5.935044226331,1.96356233764532,5.01480519757838,2.22780333190435,0.762982990068329,"NO3_0to60cm_change"
"APSIM",1,"N2O_0to60cm_last",0.863923201578424,0.842008635105894,0.81890258519492,0.801272496579711,0.818519432651329,1.25497739486516,1.35490790888813,1.28679723281749,1.27143819288118,1.19869481388838,1.11521918029007,1.04602418929105,1.2985436179852,1.40319295711442,1.05717264372271,1.14788540813734,0.883618973960459,0.918639235801845,NA
"APSIM",1,"SoilT_15cm_last",22.3153164922084,22.3172811207766,22.3124462197575,22.3036065970716,22.3047572546911,22.3346459199101,22.3338177244963,22.3100160875491,22.3286752060516,22.3300232094072,22.3305206860085,22.330546274003,22.3288860489869,22.3313022187598,22.3308646399905,22.3308621801206,22.3300345141137,22.3303225114031,NA
"APSIM",1,"SW_15cm_last",0.174027312363263,0.177350654881537,0.180245180580119,0.182507303674575,0.185486603441593,0.172392569995064,0.172760406640023,0.166289446152806,0.166456252604253,0.166459233859617,0.166348801743898,0.16624793157027,0.166568477216471,0.167801130320912,0.165971127223615,0.166974762162666,0.165762158067389,0.166456047258593,NA
"APSIM",1,"NO3_0to60cm_last.1",42.6770475743116,43.8344820765324,44.1461931000007,44.3733146789635,45.5698377812059,48.0573715509416,48.2565625799457,57.6407010019585,48.0883685907555,45.7677520414781,43.1263377948956,40.8558850462156,48.7517189517361,47.0770198472998,39.5887203681933,39.3197515413759,32.4321040828707,30.9183117367451,NA
"APSIM",1,"WFPS_10cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"CH4_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_2cm_last",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"APSIM",1,"SoilT_5cm_last",22.5340662141361,22.5340343802112,22.5323802353518,22.5297957142222,22.5300965777007,22.5400560989373,22.5398238230485,22.5313959558456,22.5378215210381,22.5379281189652,22.5380502515057,22.5381699348712,22.5375615127901,22.538050796955,22.5381001494318,22.5376488381714,22.5378834241988,22.5378393016194,NA
