    time   dayofyr        tmax        tmin         ppt     N2Oflux      NOflux     CH4oxid         NIT     CO2resp
 2022.0000    1     4.94    -5.51     0.01       0.0393       0.5114      11.8666       3.2775      39.6678
 2022.0000    2     3.61    -2.30     0.13       0.0391       0.6312      11.1225       3.2616      62.6014
 2022.0000    3     5.39    -5.57     0.00       0.0390       0.5060      11.1313       3.2467      32.4779
 2022.0000    4     3.84    -5.53     0.29       0.0387       0.0000       9.5753       3.2244     152.7406
 2022.0000    5     5.20   -10.12     0.00       0.0385       0.4927       9.5710       3.2089      69.7890
 2022.0000    6     6.40    -5.85     0.00       0.0383       0.4950      10.1745       3.1942      40.5103
 2022.0000    7     5.43    -4.61     0.00       0.0382       0.4951      10.4455       3.1797      29.5959
 2022.0000    8     9.60    -5.59     0.00       0.0380       0.4932      10.5376       3.1653      27.9673
 2022.0000    9    13.68    -2.84     0.00       0.0378       0.4911      10.8774       3.1509      30.1154
 2022.0000   10    13.26    -0.47     0.00       0.0376       0.4890      11.0810       3.1365      31.9059
 2022.0000   11    11.96     2.21     0.00       0.0375       0.4868      11.2748       3.1221      34.0061
 2022.0000   12     9.73    -1.46     3.15       0.0370       0.0000      10.7332       3.0796      30.5414
 2022.0000   13     6.70    -9.56     0.41       0.0368       0.0000      10.5281       3.0656      29.2645
 2022.0000   14     5.30    -5.71     0.00       0.0365       0.0000       7.0335       3.0418     393.4844
 2022.0000   15     2.93    -8.37     0.00       0.0362       0.0000       5.0890       3.0189     448.2302
 2022.0000   16     3.58    -2.99     0.00       0.0360       0.0000       3.3239       2.9962     446.3330
 2022.0000   17     6.87    -5.99     0.00       0.0463       0.0000       1.3573       2.9737     444.0955
 2022.0000   18     4.40    -3.62     0.00       0.1940       0.0000       1.3528       2.9516     443.0157
 2022.0000   19     4.49    -6.41     0.00       0.2043       0.0868       1.3218       2.9301     415.8538
 2022.0000   20     6.95    -3.44     0.00       0.0349       0.0172       1.3474       2.9081     436.6917
 2022.0000   21     9.42    -4.35     0.00       0.0346       0.0200       1.3525       2.8865     443.8132
 2022.0000   22    10.61    -4.04     0.00       0.0344       0.0234       1.3620       2.8648     454.5633
 2022.0000   23     9.82    -4.92     0.00       0.0341       0.0277       1.3525       2.8435     446.6200
 2022.0000   24    10.36    -4.62     0.00       0.0339       0.0332       1.3564       2.8223     450.2437
 2022.0000   25    14.59     0.75     0.00       0.0336       0.0414       1.4264       2.7997     533.1707
 2022.0000   26    18.35     3.37     0.00       0.0333       0.0548       1.4863       2.7752     641.3876
 2022.0000   27    14.78     4.55     0.00       0.0330       0.0722       1.7733       2.7505     669.8555
 2022.0000   28    15.10    -1.20     0.00       0.0327       0.1037       2.1096       2.7274     600.3602
 2022.0000   29    20.60     4.17     0.00       0.0324       0.1734       2.7585       2.7016     766.6493
